country,university,policy,status,level,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding,code_legible,uni_name,research,citations
AT,1,a,Research,High,Metadata,PolicyDate,When did the policy come into effect?,2019-07-30,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Tenure-track,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion (& hiring),NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),1,"According to statutory provisions, the Equal Opportunities Working Party has to be involved in the selection procedure.

This [selection] procedure is based on a comparative international appraisal, as well as public presentations at the Faculty or Centre (hearings). This procedure has to comply with the provisions concerning equal opportunities.

In the first session of the panel (to determine the short list), chaired by the member of the Rectorate responsible for research, the members of the panel (in compliance with the Affirmative Action Plan for the advancement of women and equal treatment) select, as a rule, five candidates who are best-qualified according to the advertised criteria (short list).","According to statutory provisions, the Equal Opportunities Working Party has to be involved in the selection procedure.

This [selection] procedure is based on a comparative international appraisal, as well as public presentations at the Faculty or Centre (hearings). This procedure has to comply with the provisions concerning equal opportunities.

In the first session of the panel (to determine the short list), chaired by the member of the Rectorate responsible for research, the members of the panel (in compliance with the Affirmative Action Plan for the advancement of women and equal treatment) select, as a rule, five candidates who are best-qualified according to the advertised criteria (short list).",NA,NA,Gender equality,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA,Gender of reviewers,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA,Gender balance of reviewers,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,"Outreach activities in connection with substantial research results achieved during the qualification phase (press releases, radio/TV/social media contributions, lectures for the non-academic public, etc.) and, if applicable, publications aimed at the non-academic public.","Outreach activities in connection with substantial research results achieved during the qualification phase (press releases, radio/TV/social media contributions, lectures for the non-academic public, etc.) and, if applicable, publications aimed at the non-academic public.",NA,NA,Engagement with the public,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Collaboration with industry, economy and federal institutions","Collaboration with industry, economy and federal institutions",NA,NA,Engagement with policy makers,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Collaboration with industry, economy and federal institutions","Collaboration with industry, economy and federal institutions",NA,NA,Engagement with industry,,23.467505405558306,87.58421962306889
