policy,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding
AT_1a,Metadata,PolicyDate,When did the policy come into effect?,2019-07-30,NA,NA,NA,NA
AT_1a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Tenure-track,NA,NA,NA,NA
AT_1a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",promotion (& hiring),NA,NA,NA,NA
AT_1a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),1,"According to statutory provisions, the Equal Opportunities Working Party has to be involved in the selection procedure.

This [selection] procedure is based on a comparative international appraisal, as well as public presentations at the Faculty or Centre (hearings). This procedure has to comply with the provisions concerning equal opportunities.

In the first session of the panel (to determine the short list), chaired by the member of the Rectorate responsible for research, the members of the panel (in compliance with the Affirmative Action Plan for the advancement of women and equal treatment) select, as a rule, five candidates who are best-qualified according to the advertised criteria (short list).","According to statutory provisions, the Equal Opportunities Working Party has to be involved in the selection procedure.

This [selection] procedure is based on a comparative international appraisal, as well as public presentations at the Faculty or Centre (hearings). This procedure has to comply with the provisions concerning equal opportunities.

In the first session of the panel (to determine the short list), chaired by the member of the Rectorate responsible for research, the members of the panel (in compliance with the Affirmative Action Plan for the advancement of women and equal treatment) select, as a rule, five candidates who are best-qualified according to the advertised criteria (short list).",NA,NA
AT_1a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
AT_1a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_1a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_1a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,"Outreach activities in connection with substantial research results achieved during the qualification phase (press releases, radio/TV/social media contributions, lectures for the non-academic public, etc.) and, if applicable, publications aimed at the non-academic public.","Outreach activities in connection with substantial research results achieved during the qualification phase (press releases, radio/TV/social media contributions, lectures for the non-academic public, etc.) and, if applicable, publications aimed at the non-academic public.",NA,NA
AT_1a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,1,"Collaboration with industry, economy and federal institutions","Collaboration with industry, economy and federal institutions",NA,NA
AT_1a,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Collaboration with industry, economy and federal institutions","Collaboration with industry, economy and federal institutions",NA,NA
AT_1a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_1a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_1a,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
